nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist
139694426,2026-01-03,876,213,124,77252,112,69776,10,6229,24,58,92,28
239419242,2026-01-03,175,6,5,3114,5,3114,0,0,3,83,100,2
239419505,2026-01-03,120,2,2,1245,2,1245,0,0,2,100,100,0
240434739,2026-01-03,217,18,13,8099,12,7476,0,0,8,72,100,5
274068413,2026-01-03,102,7,3,1868,3,1868,0,0,7,43,100,0
274068414,2026-01-03,86,3,3,1869,2,1246,1,623,3,100,67,2
289395240,2026-01-03,209,10,7,5445,3,2334,1,777,5,70,75,0
289399886,2026-01-03,335,27,13,9269,11,7843,1,713,8,48,92,11
289399887,2026-01-03,219,19,14,12180,13,11310,1,870,9,74,93,4
289399888,2026-01-03,60,3,1,389,0,0,0,0,5,33,0,3
289399889,2026-01-03,168,27,12,6480,9,4860,0,0,16,44,100,6
289399890,2026-01-03,89,4,3,2643,2,1762,1,881,4,75,67,1
436508271,2026-01-03,50,14,7,2646,7,2646,0,0,28,50,100,4
436509984,2026-01-03,36,6,4,1799,3,1349,1,450,17,67,75,1
555492428,2026-01-03,394,77,50,45600,45,41040,3,2736,20,65,94,12
555493366,2026-01-03,193,29,13,10920,13,10920,0,0,15,45,100,7
555494225,2026-01-03,324,26,11,13200,11,13200,0,0,8,42,100,8
555494522,2026-01-03,176,13,7,10500,6,9000,0,0,7,54,100,2
139694426,2026-01-04,961,230,150,93449,133,82858,10,6230,24,65,93,27
239419242,2026-01-04,193,12,11,6854,6,3737,1,623,6,92,86,5
239419505,2026-01-04,110,6,4,2492,4,2492,0,0,5,67,100,0
240434739,2026-01-04,218,20,11,6852,11,6852,0,0,9,55,100,1
274068413,2026-01-04,156,8,4,2491,3,1868,0,0,5,50,100,0
274068414,2026-01-04,101,4,4,2492,4,2492,0,0,4,100,100,0
289395240,2026-01-04,174,15,8,6224,7,5446,0,0,9,53,100,3
289399886,2026-01-04,399,46,18,12834,14,9982,3,2139,12,39,82,7
289399887,2026-01-04,228,18,13,11310,12,10440,1,870,8,72,92,6
289399888,2026-01-04,81,5,2,778,2,778,0,0,6,40,100,3
289399889,2026-01-04,205,25,13,7019,13,7019,0,0,12,52,100,10
289399890,2026-01-04,128,6,4,3523,4,3523,0,0,5,67,100,0
436508271,2026-01-04,95,22,5,1890,3,1134,2,756,23,23,60,7
436509984,2026-01-04,57,14,9,4050,9,4050,0,0,25,64,100,0
555492428,2026-01-04,605,141,89,81172,79,72052,2,1824,23,63,98,16
555493366,2026-01-04,229,53,34,28560,31,26040,0,0,23,64,100,6
555494225,2026-01-04,385,43,15,18000,10,12000,3,3600,11,35,77,12
555494522,2026-01-04,192,16,4,6000,4,6000,0,0,8,25,100,5
139694426,2026-01-05,965,277,171,106532,153,95317,9,5606,29,62,94,35
239419242,2026-01-05,194,25,14,8722,12,7476,1,623,13,56,92,3
239419505,2026-01-05,108,6,2,1246,2,1246,0,0,6,33,100,0
240434739,2026-01-05,230,22,14,8721,12,7475,1,623,10,64,92,7
